Location,Scale,Shape
5.398498258016,-3.13614154947158,-2.2877717089857
5.40098182916393,-3.13972707732585,-2.28842506592271
5.06334173745809,-2.54883927302337,-1.98867670058391
5.06660020262868,-2.55372343460333,-1.99269035040296
5.08908819244102,-2.5881521244656,-1.99935104490954
5.12740831997244,-2.55807352041057,-1.98433259217585
5.14042760466813,-2.58554474982443,-1.97575969741964
5.06892933224265,-2.55704742017912,-1.95077978270497
5.07098406060687,-2.56467154239732,-1.96498539408744
5.06899039738991,-2.48517744616093,-1.92286462371275
5.10472741531277,-2.52400240226567,-1.91836099561768
5.10256692128695,-2.50179580831334,-1.91246676272985
5.09068767395,-2.49352146171006,-1.94229802243204
5.08569890924728,-2.47569010649417,-1.92576184905693
5.07536906780466,-2.46035045299481,-1.9124426146251
5.08450435453451,-2.45949119726846,-1.87527746061738
5.06307109518297,-2.42044369081652,-1.87199407332128
5.03256143625705,-2.36909279843998,-1.86849179054235
5.04843147779325,-2.4630728531966,-1.9187142391094
5.04697826808661,-2.45930088904286,-1.92096839646324
5.05838446423705,-2.39510625555181,-1.90590126763332
5.13637239950887,-2.38823070424337,-1.93240662991515
5.18363842835243,-2.37184766509469,-1.95749103241503
5.1831440731416,-2.3703978075603,-1.95347905152696
5.12065049301286,-2.33428959323304,-1.90239667604962
5.08774564624293,-2.29583672577289,-1.92837403717092
5.0721154338996,-2.23724959319446,-1.86440532792762
5.08450098544451,-2.28177956896206,-1.91487098267008
5.06312842758691,-2.26328886133151,-1.96725792119311
5.047065459628,-2.17762246492591,-1.85351627518874
5.05702836407993,-2.19681817970263,-1.85390074297048
5.06548356866822,-2.27893625175893,-1.88353462556828
5.06130961782126,-2.26887728332825,-1.88728033238122
5.08087806556656,-2.34462528249814,-1.96068763703677
5.05448390222898,-2.18849195411484,-1.87033335946744
5.0677852569614,-2.20450739481823,-1.88004434644036
5.06765490920866,-2.20408842311796,-1.88107318942919
5.09784790616123,-2.34053024163686,-1.97121064134486
5.08486641234292,-2.28985101612837,-1.93410411805045
5.10512191693187,-2.37603901372381,-1.98973158945412
5.11677039664958,-2.40405337154651,-1.96409326057549
5.10191750590876,-2.37654136984152,-2.00192853439919
5.12312626715613,-2.49722765145587,-2.05217009125928
5.12802149999797,-2.5252160340514,-2.10552423352228
5.13930497853306,-2.55233235349723,-2.07972445739809
5.1632317119347,-2.59682333276926,-2.07374458968761
5.1548759481807,-2.56402235542899,-2.05061789669902
5.14202295896335,-2.53479354696603,-2.06156719189171
5.15054050520678,-2.65817388987384,-2.08823699804209
5.12406457444718,-2.71399742592443,-2.07987260128306
5.00303721426047,-2.54335023714737,-1.99175398039582
5.00190820426268,-2.54997145200435,-2.03558470280031
5.026741277825,-2.5408691552722,-2.07121474129153
5.06022933895434,-2.51074601422532,-2.05275863540129
5.07227582610816,-2.58315271874379,-2.1026307499058
5.08595586332393,-2.52209182065535,-2.10648241288684
5.11803672698541,-2.55119537051308,-2.11302267018014
5.12517577775138,-2.63812086966918,-2.16297530075643
5.11477839018468,-2.56600546923597,-2.10932005290012
